# NOS Active station ID|Name|URN|Lat|Lon
8725520|Fort Myers, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8725520|26.6477|-81.8712
8726384|Port Manatee, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8726384|27.6387|-82.5621
8726520|St Petersburg, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8726520|27.7606|-82.6269
8726607|Old Port Tampa, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8726607|27.8578|-82.5527
8726667|Mckay Bay Entrance, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8726667|27.9133|-82.425
8726724|Clearwater Beach, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8726724|27.9783|-82.8317
8727520|Cedar Key, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8727520|29.135|-83.0317
8728690|Apalachicola, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8728690|29.7267|-84.9817
8729108|Panama City, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8729108|30.1523|-85.6669
8729210|Panama City Beach, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8729210|30.2133|-85.8783
8729840|Pensacola, FL|urn:ioos:station:NOAA.NOS.CO-OPS:8729840|30.4044|-87.2112
8732828|Weeks Bay, Mobile Bay, AL|urn:ioos:station:NOAA.NOS.CO-OPS:8732828|30.4167|-87.825
8735180|Dauphin Island, AL|urn:ioos:station:NOAA.NOS.CO-OPS:8735180|30.25|-88.075
8735391|Dog River Bridge, AL|urn:ioos:station:NOAA.NOS.CO-OPS:8735391|30.5652|-88.088
8735523|East Fowl River Bridge, AL|urn:ioos:station:NOAA.NOS.CO-OPS:8735523|30.4437|-88.1139
8736897|Coast Guard Sector Mobile, AL|urn:ioos:station:NOAA.NOS.CO-OPS:8736897|30.6483|-88.0583
8737048|Mobile State Docks, AL|urn:ioos:station:NOAA.NOS.CO-OPS:8737048|30.7083|-88.0433
8737138|Chickasaw Creek, AL|urn:ioos:station:NOAA.NOS.CO-OPS:8737138|30.7819|-88.0736
8738043|West Fowl River Bridge, AL|urn:ioos:station:NOAA.NOS.CO-OPS:8738043|30.3766|-88.1586
8739803|Bayou La Batre Bridge, AL|urn:ioos:station:NOAA.NOS.CO-OPS:8739803|30.4057|-88.2477
8741041|Dock E, Port of Pascagoula, MS|urn:ioos:station:NOAA.NOS.CO-OPS:8741041|30.3477|-88.5054
8741533|Pascagoula NOAA Lab, MS|urn:ioos:station:NOAA.NOS.CO-OPS:8741533|30.3679|-88.563
8747437|Bay Waveland Yacht Club, MS|urn:ioos:station:NOAA.NOS.CO-OPS:8747437|30.3264|-89.3258
8760721|Pilottown, LA|urn:ioos:station:NOAA.NOS.CO-OPS:8760721|29.1783|-89.2583
8760922|Pilots Station East, SW Pass, LA|urn:ioos:station:NOAA.NOS.CO-OPS:8760922|28.9322|-89.4075
8761305|Shell Beach, LA|urn:ioos:station:NOAA.NOS.CO-OPS:8761305|29.8681|-89.6732
8761724|Grand Isle, LA|urn:ioos:station:NOAA.NOS.CO-OPS:8761724|29.2633|-89.9567
8761927|New Canal Station, LA|urn:ioos:station:NOAA.NOS.CO-OPS:8761927|30.0272|-90.1134
8761955|Carrollton, LA|urn:ioos:station:NOAA.NOS.CO-OPS:8761955|29.9329|-90.1355
8762075|Port Fourchon, Belle Pass, LA|urn:ioos:station:NOAA.NOS.CO-OPS:8762075|29.1142|-90.1992
8762482|West Bank 1, Bayou Gauche, LA|urn:ioos:station:NOAA.NOS.CO-OPS:8762482|29.7886|-90.4202
8762483|I-10 Bonnet Carre Floodway, LA|urn:ioos:station:NOAA.NOS.CO-OPS:8762483|30.0679|-90.39
8764044|Berwick, Atchafalaya River, LA|urn:ioos:station:NOAA.NOS.CO-OPS:8764044|29.6675|-91.2376
8764227|LAWMA, Amerada Pass, LA|urn:ioos:station:NOAA.NOS.CO-OPS:8764227|29.4496|-91.3381
8766072|Freshwater Canal Locks, LA|urn:ioos:station:NOAA.NOS.CO-OPS:8766072|29.5517|-92.3052
8767816|Lake Charles, LA|urn:ioos:station:NOAA.NOS.CO-OPS:8767816|30.2236|-93.2217
8767961|Bulk Terminal, LA|urn:ioos:station:NOAA.NOS.CO-OPS:8767961|30.1903|-93.3007
8768094|Calcasieu Pass, LA|urn:ioos:station:NOAA.NOS.CO-OPS:8768094|29.7682|-93.3429
8770475|Port Arthur (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8770475|29.8667|-93.93
8770520|Rainbow Bridge (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8770520|29.98|-93.8817
8770570|Sabine Pass North, TX|urn:ioos:station:NOAA.NOS.CO-OPS:8770570|29.7284|-93.8701
8770613|Morgans Point, TX|urn:ioos:station:NOAA.NOS.CO-OPS:8770613|29.6817|-94.985
8770733|Lynchburg Landing (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8770733|29.765|-95.0783
8770777|Manchester (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8770777|29.7263|-95.2658
8770808|High Island (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8770808|29.5947|-94.3903
8770971|Rollover Pass (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8770971|29.515|-94.5133
8771013|Eagle Point, TX|urn:ioos:station:NOAA.NOS.CO-OPS:8771013|29.48|-94.9183
8771341|Galveston Bay Entrance, N Jetty (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8771341|29.3573|-94.7248
8771450|Galveston Pier 21, TX|urn:ioos:station:NOAA.NOS.CO-OPS:8771450|29.31|-94.7933
8771972|San Luis Pass (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8771972|29.095|-95.1133
8772447|USCG Freeport, TX|urn:ioos:station:NOAA.NOS.CO-OPS:8772447|28.9433|-95.3025
8773259|Port Lavaca (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8773259|28.64|-96.595
8773701|Port O'Connor (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8773701|28.4517|-96.3883
8774513|Copano Bay (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8774513|28.1183|-97.0217
8774770|Rockport, TX|urn:ioos:station:NOAA.NOS.CO-OPS:8774770|28.0217|-97.0467
8775237|Port Aransas (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8775237|27.8383|-97.0733
8775244|Nueces Bay (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8775244|27.8328|-97.4859
8775792|Packery Channel (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8775792|27.6333|-97.2367
8775870|Bob Hall Pier, Corpus Christi, TX|urn:ioos:station:NOAA.NOS.CO-OPS:8775870|27.58|-97.2167
8776604|Baffin Bay (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8776604|27.295|-97.405
8777812|Rincon Del San Jose (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8777812|26.825|-97.4917
8778490|Port Mansfield (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8778490|26.5546|-97.4221
8779280|Realitos Peninsula (TCOON), TX|urn:ioos:station:NOAA.NOS.CO-OPS:8779280|26.2622|-97.2854
8779770|Port Isabel, TX|urn:ioos:station:NOAA.NOS.CO-OPS:8779770|26.06|-97.215
9014070|Algonac, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9014070|42.621|-82.5269
9014080|St Clair State Police, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9014080|42.8124|-82.4858
9014087|Dry Dock, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9014087|42.9453|-82.4435
9014090|Mouth of the Black River, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9014090|42.9738|-82.4204
9014096|Dunn Paper, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9014096|43.0025|-82.4224
9014098|Fort Gratiot, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9014098|43.0069|-82.4225
9034052|St Clair Shores, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9034052|42.4732|-82.8792
9044020|Gibraltar, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9044020|42.0909|-83.186
9044030|Wyandotte, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9044030|42.2024|-83.1475
9044036|Fort Wayne, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9044036|42.2989|-83.0926
9044049|Windmill Point, MI|urn:ioos:station:NOAA.NOS.CO-OPS:9044049|42.3578|-82.9299
9052000|Cape Vincent, NY|urn:ioos:station:NOAA.NOS.CO-OPS:9052000|44.1302|-76.332
9052030|Oswego, NY|urn:ioos:station:NOAA.NOS.CO-OPS:9052030|43.4642|-76.5118
9052058|Rochester, NY|urn:ioos:station:NOAA.NOS.CO-OPS:9052058|43.269|-77.6258
9052076|Olcott, NY|urn:ioos:station:NOAA.NOS.CO-OPS:9052076|43.3384|-78.7273
9063007|Ashland Ave, NY|urn:ioos:station:NOAA.NOS.CO-OPS:9063007|43.0999|-79.0599
9063009|American Falls, NY|urn:ioos:station:NOAA.NOS.CO-OPS:9063009|43.0811|-79.0614
9063012|Niagara Intake, NY|urn:ioos:station:NOAA.NOS.CO-OPS:9063012|43.0769|-79.0139
