"Sugarloaf Key",24.602063,81.492648,0.022514,0.123968,,,-1,0
"Cudjoe Key",24.709018,81.529460,0.025403,0.092481,,,-1,0
"Big Pine Key",24.717288,81.374583,0.03433,0.125149,,,-1,0
"Bahia Honda Key",24.651826,81.188041,0.024688,0.151124,,,-1,0
"Vaca Key",24.696902,81.031014,0.022533,0.085007,,,-1,0
"Marathon",24.721379,81.192605,0.039141,0.152761,24.711701,81.100749,-1,0
"Long Key",24.798135,80.782815,0.023775,0.096927,,,-1,0
"Lower Matecumbe Key",24.856369,80.602058,0.02614,0.205644,,,-1,0
"Upper Matecumbe Key",24.910825,80.525042,0.023495,0.207426,,,-1,0
"Plantation Key",24.970829,80.478560,0.022357,0.13261,,,-1,0
"Tavernier",25.009652,80.460359,0.023526,0.088407,25.010519,80.515411,-1,0
"Key Largo",25.102994,80.315342,0.04107,0.168832,25.104636,80.429712,-1,0
"Elliott Key",25.429046,80.140255,0.029912,0.113725,,,-1,0
"Key Biscayne",25.696659,80.086991,0.024655,0.120923,,,-1,0
"Miami Beach",25.779828,80.043600,0.036772,0.142904,25.779828,80.131541,-1,0
"Miami",25.791413,80.314749,0.054605,0.165635,25.776483,80.209892,-1,0
"NHC",25.755572,80.356104,0.01639,0.033479,25.7546,80.3822,-1,0
"Fort Lauderdale",26.128091,79.923107,0.055538,0.357378,26.124124,80.128268,-1,0
"West Palm Beach",26.760969,79.866672,0.048041,0.333129,26.759291,80.069133,-1,0
"Lake Okeechobee",26.934876,80.859229,0.06038,0.370834,,,-1,0
"Jensen Beach",27.245895,80.100161,0.03958,0.225507,27.245895,80.236579,-1,0
"Fort Pierce",27.472274,80.202172,0.045737,0.230408,27.472154,80.349855,-1,0
"Melbourne",28.068316,80.482380,0.042933,0.198769,28.066090,80.608749,-1,0
"Cocoa",28.377510,80.804827,0.041512,0.114845,28.352103,80.737147,-1,0
"Cocoa Beach",28.329501,80.497104,0.044127,0.198769,28.328463,80.616284,-1,0
"Mosquito Lagoon",28.881353,80.758395,0.023175,0.14733,,,-1,60
"Indian R",28.593824,80.725982,0.031178,0.123354,,,-1,77
"Banana R",28.453672,80.587633,0.029804,0.130523,,,-1,90
"Titusville",28.614642,80.909365,0.040124,0.153126,28.612331,80.815749,-1,0
"Cape Canaveral",28.464712,80.383634,0.039924,0.263926,,,-1,0
"Daytona Beach",29.237658,81.169492,0.036953,0.209258,29.236427,81.046482,-1,0
"Jacksonville",30.3674375,81.8090485,0.052561,0.273013,30.364072,81.647581,-1,0
"Jacksonville Beach",30.2851925,81.2513225,0.039117,0.265213,,,-1,0
"Fernandina Beach",30.673935,81.264921,0.040505,0.331965,30.670882,81.454133,-1,0
"Brunswick",31.172957,81.628922,0.043262,0.215766,31.171205,81.499190,-1,0
"Atlanta",33.794107,84.505506,0.04513,0.161518,33.794107,84.393201,-1,0
"Sapelo Island",31.446876,81.094113,0.042081,0.233385,,,-1,0
"St. Simons Island",31.180675,81.177121,0.043228,0.301957,,,-1,0
"Jekyll Island",31.078725,81.274566,0.042245,0.240603,,,-1,0
"Cumberland Island",30.860049,81.226877,0.049628,0.374234,,,-1,0
"Daufuskie Island",32.090234,80.709666,0.042574,0.280117,,,-1,0
"Folly Island",32.651837,79.842562,0.027145,0.149822,,,-1,0
"Wassaw Island",31.873882,80.821030,0.040866,0.26707,,,-1,0
"Ossabaw Island",31.768593,80.925692,0.041936,0.265867,,,-1,0
"St. Catherines Island",31.643727,80.964187,0.038919,0.312784,,,-1,0
"Savannah",32.092346,81.2656975,0.044524,0.206281,,,-1,0
"Tybee Island",31.982112,80.723585,0.044899,0.232182,,,-1,0
"Myrtle Beach",33.663351,78.746339,0.053064,0.302318,33.661748,78.926394,-1,0
"North Island",33.262429,79.093456,0.032093,0.156736,,,-1,0
"WINYAH",33.287992,79.2606795,0.014966,0.047191,,,-1,0
"BAY",33.277129,79.2580265,0.01078,0.041679,,,-1,0
"Cape Romain",32.996296,79.254034,0.034765,0.203603,,,-1,0
"BULLS BAY",32.970541,79.502199,0.029624,0.172871,,,-1,0
"Cooper R",32.8557865,79.938732,0.010409,0.03471,,,-1,0
"Wando R",32.869054,79.8705885,0.0102,0.034417,,,-1,0
"Capers Island",32.853257,79.583640,0.034177,0.169798,,,-1,0
"Bull Island",32.895806,79.495284,0.034805,0.152126,,,-1,0
"Isle of Palms",32.791975,79.638959,0.032265,0.181323,,,-1,0
"Sullivans Island",32.750020,79.723474,0.032926,0.202067,,,-1,0
"Johns Island",32.653776,80.078435,0.023913,0.122162,,,-1,0
"James Island",32.737754,79.949358,0.024536,0.115247,,,-1,0
"Columbia",34.029139,80.925305,0.047837,0.193281,34.000209,81.031341,-1,0
"Charleston",32.802299,80.045397,0.030326,0.123698,,,-1,0
"Morris Island",32.706109,79.779560,0.036817,0.179785,,,-1,0
"Kiawah Island",32.591710,79.962419,0.030397,0.212055,0,0,-1,0
"Beaufort",32.449259,80.6275195,0.02474,0.084441,32.447805,80.681802,-1,0
"Edisto Island",32.505328,80.161515,0.039374,0.19304,,,-1,0
"St. Helena Island",32.4039845,80.5390295,0.029945,0.160625,,,-1,0
"Hunting Island",32.363801,80.329660,0.03554,0.209477,,,-1,0
"Hilton Head Island",32.174772,80.545538,0.041751,0.298348,0,0,-1,0
"LONG BAY",33.798932,78.251836,0.072664,0.427426,,,-1,0
"Raleigh",35.822801,78.461409,0.055447,0.196346,35.818604,78.603803,-1,0
"Wilmington",34.239400,78.103231,0.055758,0.259232,34.236386,77.944406,-1,0
"Cape Fear",33.819773,77.797716,0.101428,0.28619,,,-1,0
"ONSLOW BAY",34.208208,77.431867,0.074951,0.47388,,,-1,-35
"Cape Lookout",34.628875,76.2276425,0.0851,0.507283,34.628165,76.523267,-1,0
"Cape",35.260253,75.364318,0.09616,0.282472,35.263898,75.539316,-1,0
"Hatteras",35.158529,75.3406585,0.127688,0.334483,,,-1,0
"Pamlico Sound",35.2727935,76.0844875,0.113611,0.755133,,,-1,0
"Albemarle Sound  ",36.041396,76.1095425,0.078934,0.595249,,,-1,0
"Virginia Beach",36.855399,75.838049,0.039916,0.263117,36.853139,75.981128,-1,0
"York R",37.396003,76.633036,0.02928,0.100916,,,-1,55
"Rappahannoch R",37.852110,76.673084,0.027856,0.181242,,,-1,45
"Potomac R",38.196640,76.739001,0.052478,0.269369,,,-1,0
"James R",37.060303,76.595797,0.043202,0.139489,,,-1,0
"Norfolk",36.853121,76.186618,0.037762,0.155712,36.851862,76.280988,-1,0
"Richmond",37.570402,77.585680,0.047309,0.231463,37.537959,77.465439,-1,0
"Portsmouth",36.830459,76.425691,0.045329,0.19346,36.829200,76.309300,-1,0
"Cape Henry",36.9310955,75.869244,0.039539,0.249642,,,-1,0
"Newport",36.991147,76.495581,0.034594,0.143552,36.995471,76.403491,-1,0
"News",36.956546,76.453599,0.034609,0.096152,,,-1,0
"Hampton",37.018169,76.268065,0.034581,0.15574,37.017087,76.366926,-1,0
"CHESAPEAKE BAY",38.655992,75.976129,0.185143,0.981428,,,-1,77
"Cape Charles",37.091288,75.784425,0.04612,0.254764,,,-1,0
"NWS Headquarters",38.993555,77.006756,0.005078,0.043493,38.99360,77.03236,-1,0
"Washington",38.9104785,77.0142305,0.017005,0.096219,38.898110,77.046469,-1,0
"DELAWARE BAY",39.0998725,75.149542,0.078897,0.350078,,,-1,0
"Wilmington",39.745106,75.660161,0.031371,0.163986,39.743029,75.561840,-1,0
"Annapolis",38.999281,76.614088,0.041993,0.17179,38.979407,76.511934,-1,0
"Cambridge",38.550553,75.986295,0.030377,0.159059,38.560316,76.083531,-1,0
"Salisbury",38.369638,75.690536,0.033602,0.148135,38.367545,75.593712,-1,0
"Rehoboth Beach",38.7148155,74.95678,0.041813,0.224486,38.716868,75.094199,-1,0
"Villas",39.048504,74.8780335,0.023462,0.066925,39.047355,74.922748,-1,0
"Salem",39.5861545,75.406196,0.021457,0.075092,39.585223,75.452826,-1,0
"Dover",39.2107925,75.557249,0.035691,0.134762,39.181047,75.513750,-1,0
"Cape Henlopen",38.806819,74.9710915,0.045948,0.226007,,,-1,0
"Brigantine",39.401317,74.2773705,0.027172,0.157457,39.410828,74.366655,-1,0
"Ocean City",39.26232,74.4820345,0.029888,0.168249,39.278988,74.575795,-1,0
"Wildwood",38.9679845,74.7320555,0.032721,0.158439,38.990792,74.818669,-1,0
"Trenton",40.236385,74.688973,0.027312,0.10963,40.235567,74.761736,-1,0
"Atlantic City",39.349369,74.3247385,0.030836,0.199797,39.363206,74.438434,-1,0
"Cape May",38.908084,74.8611405,0.038168,0.161981,,,-1,0
"Warwick",41.692601,71.347859,0.011008,0.04826,41.691776,71.377331,-1,0
"NARRAGANSETT BAY",41.575806,71.366162,0.015685,0.143142,,,-1,0
"Newport",41.500416,71.277819,0.010123,0.046138,41.499883,71.306921,-1,0
"Long Island Sound",41.097278,72.9150555,0.069204,0.530337,,,-1,0
"Long Island",40.8350905,73.3045285,0.070255,0.443865,,,-1,0
"Point Judith",41.35482,71.4528495,0.01406,0.080581,0,0,-1,0
"New Haven",41.313030,72.841805,0.025947,0.143252,41.311060,72.927246,-1,0
"Bridgeport",41.205072,73.297623,0.028254,0.150075,41.204750,73.202826,-1,0
"Hartford",41.770803,72.606431,0.024166,0.105671,41.769632,72.682653,-1,0
"New London",41.382965,72.181805,0.023698,0.145462,41.363797,72.105753,-1,0
"Providence",41.821985,71.4785355,0.02462,0.121095,41.821744,71.404389,-1,0
"Sandy Hook",40.477276,73.9351595,0.02293,0.116981,,,-1,0
"Fire Island",40.6430365,72.8754765,0.044039,0.203329,,,-1,0
"Orient Pt.",41.1577615,72.204622,0.014121,0.05338,,,-1,0
"Montauk Pt.",41.0591735,71.810124,0.019939,0.093692,,,-1,0
"Block",41.1992885,71.4707855,0.027513,0.112775,,,-1,0
"Island",41.1668875,71.4682225,0.027513,0.112775,,,-1,0
"Woods Hole",41.5308095,70.589513,0.019727,0.116838,41.532526,70.662823,-1,0
"Nantucket Island",41.2229535,70.0348405,0.031873,0.203347,,,-1,0
"Martha's Vineyard",41.323639,70.5919095,0.032768,0.254309,,,-1,0
"BUZZARDS",41.560409,70.7690195,0.039556,0.198197,,,-1,0
"BAY",41.523879,70.8285665,0.030275,0.158558,,,-1,0
"Newburyport",42.7956315,70.8091595,0.029891,0.234161,42.821695,70.894955,-1,0
"Concord",43.203783,71.453699,0.027749,0.130839,43.203076,71.542540,-1,0
"Manchester",43.002432,71.589998,0.038047,0.213728,43.000458,71.459248,-1,0
"Portsmouth",43.068218,70.616238,0.033912,0.227524,43.097626,70.776453,-1,0
"SACO",43.517486,70.2347445,0.031276,0.101009,,,-1,0
"BAY",43.485755,70.272931,0.031276,0.101009,,,-1,0
"Cape Elizabeth",43.558577,70.0271815,0.036612,0.294407,,,-1,0
"MASSACHUSETTS BAY",42.527218,70.676665,0.022884,0.210571,,,-1,0
"Rockport",42.675433,70.544765,0.032561,0.130742,42.655575,70.624616,-1,0
"Plymouth",41.958623,70.615103,0.017274,0.080704,41.958168,70.669517,-1,0
"PLYMOUTH BAY",41.988618,70.627331,0.013631,0.128393,,,-1,0
"BOSTON BAY",42.337594,70.861259,0.019934,0.168274,,,-1,0
"Boston",42.409811,70.902766,0.04632,0.176687,42.408595,71.020359,-1,0
"CAPE COD BAY",41.874494,70.284681,0.041363,0.249596,,,-1,0
"Cape",42.046213,69.843332,0.092817,0.278121,,,-1,0
"Cod",41.940050,69.807675,0.092972,0.206808,,,-1,0
"Monomoy Island",41.583067,70.071575,0.024372,0.151902,,,-1,0
"Southwest",44.2842955,68.2319405,0.029627,0.154279,44.280239,68.325109,-1,0
"Harbor",44.255968,68.2318305,0.024648,0.154279,,,-1,0
"Bar",44.3943105,68.276455,0.026659,0.094792,44.392090,68.219735,-1,0
"Harbor",44.368527,68.2523035,0.029382,0.102691,,,-1,0
"Eastport",44.909149,67.140219,0.050799,0.232593,44.907738,66.991121,-1,0
"CASCO",43.6949375,70.011869,0.044357,0.157868,,,-1,0
"BAY",43.6542645,70.008215,0.037665,0.168392,,,-1,0
"MUSCONGUS",43.8710335,69.338726,0.034313,0.265846,,,-1,0
"BAY",43.8310795,69.3407715,0.034313,0.265846,,,-1,0
"Augusta",44.362478,69.618238,0.051477,0.202909,44.359945,69.745896,-1,0
"Brunswick NAS",43.8800495,70.062725,0.038079,0.223876,43.879291,69.916995,-1,0
"Portland",43.701476,70.407740,0.054724,0.27854,43.659104,70.280017,-1,0
"Rockland",44.1014705,69.1917205,0.039299,0.133549,44.102630,69.108856,-1,0
"PENOBSCOT",44.1805315,68.893886,0.035839,0.288186,,,-1,0
"BAY",44.140432,68.8977005,0.034644,0.288186,,,-1,0
"GULF OF AMERICA",27.444457,89.159684,0.676899,5.581477,,,-1,0
"ATLANTIC OCEAN",31.089733,75.463441,0.994467,6.066416,,,-1,0
"PACIFIC OCEAN",35.942837,130.001846,1.048673,6.617019,,,-1,0
